START DATE,team,game,wins_to_date,se,upper_ci_90,lower_ci_90,upper_ci_95,lower_ci_95,upper_ci_99,lower_ci_99
2026-09-19,NYY,155,84.48115,0.06770229991621933,84.59251037357015,84.36978962642985,84.61384406950631,84.34845593049369,84.65553956804186,84.30676043195814
2026-09-19,PHI,155,85.5113,0.06758973320040351,85.62247521779938,85.40012478220063,85.64377344279747,85.37882655720254,85.68539961539666,85.33720038460335
2026-09-19,PIT,155,75.9994,0.06858957798755166,76.11221981612388,75.8865801838761,76.13383310257039,75.8649668974296,76.17607504489838,75.8227249551016
2026-09-19,SDP,155,79.26765,0.06811774860679658,79.37969372585566,79.15560627414435,79.40115833397728,79.13414166602273,79.44310969295317,79.09219030704683
2026-09-19,SEA,155,84.11946272301743,0.07811605905206367,84.24795220607238,83.99097323996249,84.27256738537369,83.96635806066118,84.3206763570015,83.91824908903337
2026-09-19,SEA,157,87.29111998478798,0.1281733346533365,87.50194635917099,87.08029361040498,87.54233510448692,87.03990486508904,87.62127261612163,86.96096735345434
2026-09-19,SFG,155,77.6553,0.06837260296450481,77.76776292397028,77.54283707602971,77.78930783933968,77.52129216066031,77.83141615427589,77.47918384572411
2026-09-19,STL,155,70.2982,0.06795766881108789,70.40998041802308,70.1864195819769,70.43139458334302,70.16500541665697,70.47324735472446,70.12315264527552
2026-09-19,TBR,155,76.0583,0.06908823137615949,76.17194002795874,75.94465997204126,76.19371044525285,75.92288955474716,76.23625949090908,75.88034050909093
2026-09-19,TEX,155,78.0669,0.06818851591862915,78.1790601277252,77.95473987227481,78.20054703535975,77.93325296464026,78.24254197746872,77.89125802253129
2026-09-19,TOR,155,85.00505,0.06776076151368908,85.11650653434079,84.89359346565921,85.13785865213184,84.87224134786815,85.17959015513775,84.83050984486225
2026-09-19,WSN,155,63.70235,0.06624988434883361,63.8113213625563,63.593378637443706,63.83219738730366,63.57250261269635,63.87299839346245,63.53170160653755
2026-09-20,ARI,156,76.57255,0.06819834584206422,76.68472629651042,76.4603737034896,76.70621630165566,76.43888369834436,76.74821729767356,76.39688270232645
2026-09-20,ATH,156,75.733,0.06821589419197731,75.84520516097741,75.6207948390226,75.86670069578948,75.59929930421053,75.90871249922749,75.55728750077252
2026-09-20,ATL,156,83.9039,0.06796686114725828,84.01569553807057,83.79210446192941,84.03711259999085,83.77068740000914,84.07897103261334,83.72882896738665
2026-09-20,BAL,156,83.08445,0.06872526513574452,83.19749300162174,82.97140699837827,83.21914904449403,82.94975095550598,83.26147455183082,82.90742544816919
2026-09-20,BOS,156,82.46793540172888,0.07859768773379497,82.59721709346782,82.33865370998994,82.62198403895525,82.31388676450251,82.67038962898478,82.26548117447298
2026-09-20,BOS,158,86.01280283632066,0.1353032453079777,86.23535687010379,85.79024880253753,86.27799232411569,85.74761334852563,86.36132090045021,85.66428477219111
2026-09-20,CHC,156,83.17385,0.0674069246706129,83.2847245245261,83.0629754754739,83.305965144663,83.041734855337,83.34747873182867,83.00022126817133
2026-09-20,CHW,156,65.64235,0.06774648554124543,65.75378305245573,65.53091694754426,65.77513067174,65.50956932825999,65.81685338266959,65.4678466173304
2026-09-20,CIN,156,74.04765,0.06811292786558323,74.15968579644199,73.93561420355802,74.18114888549812,73.91415111450189,74.22309727554669,73.87220272445332
2026-09-20,CLE,156,73.64215,0.06819327081893216,73.75431794884021,73.52998205115979,73.77580635479309,73.50849364520691,73.81780422528026,73.46649577471975
2026-09-20,COL,156,60.7704,0.0655853586097016,60.87827831498408,60.662521685015925,60.89894494078816,60.64185505921184,60.939336688590636,60.60146331140937
2026-09-20,DET,156,83.8073,0.06917591778126303,83.92108425926021,83.69351574073978,83.94288230744878,83.67171769255121,83.98548535612086,83.62911464387913
2026-09-20,HOU,156,79.8638,0.06874037197991452,79.97686785016916,79.75073214983084,79.99852865336452,79.72907134663548,80.04086346448271,79.68673653551728
2026-09-20,KCR,156,77.3139,0.0683611878341804,77.42634414775176,77.20145585224824,77.44788546609537,77.17991453390464,77.4899867508487,77.1378132491513
2026-09-20,LAA,156,67.6173,0.0677075789798497,67.72866905685711,67.50593094314289,67.7500044162809,67.4845955837191,67.79170316600865,67.44289683399136
2026-09-20,LAD,156,95.6061,0.06599276393472699,95.71464843711058,95.49755156288941,95.73544344055232,95.47675655944768,95.77608609516525,95.43611390483474
2026-09-20,MIA,156,69.79675,0.06826946614611415,69.90904327900049,69.68445672099952,69.93055569489016,69.66294430510985,69.97260049143681,69.6208995085632
