Team,Mean Wins,Mean Losses,Max Wins,Min Wins,St.Dev,Win Division (%),Make Wild Card (%),Make Playoffs (%),Win League (%),Win WS (%),Division,date
CLE,84,78,122,44,10.073364486163651,32.78,15.88,48.66,7.23,3.31,AL Central,2023-04-01 09:26:30.717474
COL,68,94,110,27,9.911792419080834,0.98,4.01,4.99,0.25,0.12,NL West,2023-04-01 09:26:30.717474
DET,69,93,110,34,10.05199084776244,3.12,3.11,6.23,0.49,0.21,AL Central,2023-04-01 09:26:30.717474
HOU,88,74,127,45,10.015950027967827,36.58,25.05,61.62,12.03,6.14,AL West,2023-04-01 09:26:30.717474
KCR,70,92,108,35,10.048515312870837,3.94,3.48,7.42,0.47,0.14,AL Central,2023-04-01 09:26:30.717474
LAA,83,79,119,46,10.203990658010568,19.34,21.32,40.66,5.99,2.92,AL West,2023-04-01 09:26:30.717474
LAD,91,71,128,48,10.01922539340612,39.05,34.04,73.09,14.95,7.61,NL West,2023-04-01 09:26:30.717474
MIA,79,83,117,36,10.088300804925302,6.14,22.2,28.34,2.73,1.21,NL East,2023-04-01 09:26:30.717474
MIL,83,79,123,44,10.144504156844226,29.32,17.74,47.05,6.22,2.89,NL Central,2023-04-01 09:26:30.717474
MIN,85,77,120,45,10.185367544821425,38.09,15.1,53.2,7.76,3.67,AL Central,2023-04-01 09:26:30.717474
NYM,90,72,123,52,9.929289709601944,35.13,37.93,73.06,14.96,7.85,NL East,2023-04-01 09:26:30.717474
NYY,92,70,131,50,10.09087683453544,36.69,37.77,74.46,17.9,9.69,AL East,2023-04-01 09:26:30.717474
OAK,69,93,107,36,10.06874824516738,1.91,4.3,6.21,0.46,0.18,AL West,2023-04-01 09:26:30.717474
PHI,84,78,120,46,10.115298979326903,14.95,33.51,48.45,6.59,3.08,NL East,2023-04-01 09:26:30.717474
PIT,75,87,111,34,10.120602443886026,9.46,9.08,18.55,1.46,0.56,NL Central,2023-04-01 09:26:30.717474
SDP,91,71,129,50,9.97103477261624,45.41,31.36,76.77,17.62,9.63,NL West,2023-04-01 09:26:30.717474
SEA,82,80,125,49,10.100421917110449,18.63,21.57,40.2,5.43,2.56,AL West,2023-04-01 09:26:30.717474
SFG,79,83,122,41,10.12707234296819,9.07,21.98,31.05,3.51,1.48,NL West,2023-04-01 09:26:30.717474
STL,86,76,121,47,10.189175268005382,45.02,16.53,61.55,9.31,4.41,NL Central,2023-04-01 09:26:30.717474
TBR,86,76,123,48,10.203750189190044,18.5,36.47,54.96,9.14,4.57,AL East,2023-04-01 09:26:30.717474
TEX,84,78,120,41,10.233673581063064,23.54,22.21,45.76,6.7,3.36,AL West,2023-04-01 09:26:30.717474
TOR,91,71,124,50,10.054755226017845,32.37,38.09,70.45,14.8,7.74,AL East,2023-04-01 09:26:30.717474
WSN,66,96,104,30,10.001275157335636,0.57,3.54,4.11,0.26,0.07,NL East,2023-04-01 09:26:30.717474
ARI,77,85,114,40,10.065439242817869,5.1,15.81,20.91,1.97,0.84,NL West,2023-04-02 09:30:29.894162
ATL,93,69,129,48,10.034935808181997,43.91,34.86,78.77,17.79,9.56,NL East,2023-04-02 09:30:29.894162
BAL,77,85,113,38,10.082741643221455,3.8,14.45,18.25,1.94,0.83,AL East,2023-04-02 09:30:29.894162
BOS,82,80,119,43,10.09830282094441,9.24,26.2,35.44,5.0,2.38,AL East,2023-04-02 09:30:29.894162
CHC,77,85,116,40,10.073215992001824,12.21,11.68,23.9,2.26,0.94,NL Central,2023-04-02 09:30:29.894162
CHW,81,81,119,44,10.12403440104922,20.27,14.64,34.91,4.39,2.01,AL Central,2023-04-02 09:30:29.894162
CIN,69,93,114,31,9.971932597144177,2.95,3.75,6.7,0.33,0.12,NL Central,2023-04-02 09:30:29.894162
CLE,85,77,123,41,10.048096422809966,33.45,16.14,49.59,7.18,3.41,AL Central,2023-04-02 09:30:29.894162
COL,67,95,112,27,9.86237973839,0.66,3.46,4.12,0.21,0.09,NL West,2023-04-02 09:30:29.894162
DET,68,94,107,34,9.932575395772233,2.69,2.63,5.32,0.34,0.1,AL Central,2023-04-02 09:30:29.894162
HOU,89,73,123,50,9.913535741956316,37.3,25.67,62.97,11.92,6.08,AL West,2023-04-02 09:30:29.894162
KCR,69,93,112,36,9.988340972742632,3.19,3.19,6.38,0.53,0.19,AL Central,2023-04-02 09:30:29.894162
LAA,83,79,122,43,10.134886690728807,20.26,22.41,42.67,6.8,3.19,AL West,2023-04-02 09:30:29.894162
LAD,91,71,130,50,9.989086471240835,38.34,34.63,72.97,14.56,7.56,NL West,2023-04-02 09:30:29.894162
MIA,78,84,115,42,9.992612681021388,5.58,21.53,27.11,2.54,1.12,NL East,2023-04-02 09:30:29.894162
MIL,83,79,122,44,10.174861767149409,29.78,18.07,47.85,6.37,2.89,NL Central,2023-04-02 09:30:29.894162
MIN,86,76,127,49,10.156190236501365,40.41,15.53,55.94,8.58,4.01,AL Central,2023-04-02 09:30:29.894162
NYM,91,71,129,51,9.91733280534632,36.27,37.95,74.22,15.04,7.9,NL East,2023-04-02 09:30:29.894162
NYY,91,71,126,54,10.113206775551651,35.13,37.22,72.35,17.13,9.56,AL East,2023-04-02 09:30:29.894162
OAK,68,94,104,31,10.110037949526562,1.57,3.95,5.51,0.45,0.15,AL West,2023-04-02 09:30:29.894162
PHI,83,79,119,44,10.082902042848598,13.78,32.09,45.88,6.37,3.0,NL East,2023-04-02 09:30:29.894162
PIT,74,88,112,38,10.142576407910818,8.72,8.5,17.22,1.31,0.55,NL Central,2023-04-02 09:30:29.894162
SDP,92,70,126,51,9.949572673101017,45.2,32.37,77.56,17.78,9.43,NL West,2023-04-02 09:30:29.894162
SEA,82,80,120,44,10.164467697335573,17.16,20.46,37.62,5.27,2.35,AL West,2023-04-02 09:30:29.894162
SFG,81,81,119,37,10.108510369811915,10.71,25.67,36.38,3.96,1.86,NL West,2023-04-02 09:30:29.894162
STL,87,75,120,48,10.073777434487484,46.34,16.66,63.0,9.32,4.53,NL Central,2023-04-02 09:30:29.894162
TBR,87,75,124,51,10.005929953867971,20.21,36.63,56.84,9.52,4.7,AL East,2023-04-02 09:30:29.894162
TEX,84,78,123,48,10.107385611506835,23.73,23.71,47.44,6.73,3.02,AL West,2023-04-02 09:30:29.894162
TOR,90,72,128,45,10.085677277298092,31.62,37.16,68.78,14.21,7.52,AL East,2023-04-02 09:30:29.894162
WSN,65,97,103,33,9.79681518437944,0.47,2.95,3.43,0.19,0.07,NL East,2023-04-02 09:30:29.894162
ARI,77,85,117,42,9.985231380383023,5.43,17.09,22.52,2.04,0.85,NL West,2023-04-03 09:28:11.524003
ATL,92,70,129,54,9.8955701802857,42.2,35.63,77.83,17.33,9.45,NL East,2023-04-03 09:28:11.524003
BAL,76,86,112,40,10.009113924722715,3.27,13.51,16.79,1.77,0.8,AL East,2023-04-03 09:28:11.524003
BOS,83,79,122,43,10.08804338962572,9.96,27.49,37.45,5.29,2.53,AL East,2023-04-03 09:28:11.524003
CHC,77,85,113,40,10.030949740435076,10.78,11.8,22.57,2.1,0.88,NL Central,2023-04-03 09:28:11.524003
CHW,81,81,122,46,9.908888185904289,20.29,15.42,35.71,4.64,2.05,AL Central,2023-04-03 09:28:11.524003
CIN,69,93,113,33,9.875972894835783,3.04,3.86,6.91,0.48,0.14,NL Central,2023-04-03 09:28:11.524003
CLE,85,77,121,50,10.054962760314217,34.37,16.91,51.28,7.13,3.35,AL Central,2023-04-03 09:28:11.524003
COL,67,95,105,29,9.810535675512892,0.68,3.55,4.22,0.24,0.08,NL West,2023-04-03 09:28:11.524003
DET,68,94,110,33,9.951480260517444,2.46,2.66,5.11,0.35,0.12,AL Central,2023-04-03 09:28:11.524003
HOU,88,74,125,51,9.924244364625944,34.97,25.05,60.02,11.2,5.68,AL West,2023-04-03 09:28:11.524003
KCR,69,93,110,31,9.866833099696713,2.65,3.0,5.65,0.45,0.2,AL Central,2023-04-03 09:28:11.524003
LAA,84,78,125,49,10.078511111112157,21.38,22.52,43.9,6.29,2.85,AL West,2023-04-03 09:28:11.524003
LAD,90,72,133,53,9.904331425520336,36.66,35.45,72.1,13.99,7.37,NL West,2023-04-03 09:28:11.524003
MIA,78,84,118,39,10.072668883812367,5.62,20.32,25.94,2.61,1.1,NL East,2023-04-03 09:28:11.524003
