"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Omar Narváez","MIL","39","156","138","34","6","0","4","16","16","15","31","2","0","0","",".245",".327",".377",".704",".312","","-0.5","-0.4","","0.8","13338"
"Chris Taylor","LAD","46","197","173","41","10","1","5","24","23","20","59","2","4","1","",".239",".321",".407",".728",".318","","-0.3","0.4","","0.8","13757"
"Christian Vázquez","BOS","42","165","152","40","8","0","4","17","18","10","29","1","2","1","",".262",".310",".394",".704",".308","","0.9","-0.7","","0.8","9774"
"Aaron Hicks","NYY","42","182","153","35","5","1","5","22","20","26","41","2","4","1","",".230",".348",".379",".726",".324","","-0.4","0.2","","0.8","5297"
"Jesús Sánchez","MIA","42","180","163","38","6","2","7","20","22","14","47","2","1","0","",".234",".297",".424",".722",".312","","0.4","-0.4","","0.8","19913"
"Lourdes Gurriel Jr.","TOR","51","218","202","57","12","0","7","26","29","12","41","2","2","1","",".280",".326",".454",".780",".337","","-0.6","-0.6","","0.8","19238"
"Joc Pederson","SFG","48","207","184","44","9","1","10","26","28","18","47","3","2","1","",".238",".316",".451",".766",".331","","-0.8","-0.3","","0.8","11899"
"Rowdy Tellez","MIL","50","215","192","48","10","0","11","26","32","18","45","3","0","0","",".249",".321",".472",".793",".339","","-0.2","-0.5","","0.8","15679"
"Kyle Farmer","CIN","50","216","197","50","11","1","5","22","25","12","40","5","2","1","",".254",".312",".391",".703",".309","","-0.3","-0.3","","0.7","14813"
"José Iglesias","COL","50","218","204","59","13","1","3","23","23","9","28","3","2","1","",".291",".326",".405",".731",".319","","-0.2","-0.2","","0.7","10231"
"Mitch Haniger","SEA","40","172","154","38","7","1","8","24","24","14","43","2","1","0","",".244",".314",".459",".773",".334","","-0.2","-0.2","","0.7","14274"
"Ryan Mountcastle","BAL","56","241","222","58","12","0","11","29","35","15","61","2","2","1","",".262",".309",".466",".776",".333","","0.2","-0.1","","0.7","18373"
"David Peralta","ARI","49","210","190","50","11","2","6","22","26","17","43","1","1","0","",".262",".324",".427",".751",".324","","0.8","-0.2","","0.7","2136"
"Adam Frazier","SEA","47","204","185","48","9","1","3","22","16","15","25","2","3","2","",".259",".319",".359",".678",".300","","0.4","-0.2","","0.7","15223"
"Josh Naylor","CLE","49","213","194","52","11","0","8","25","29","16","35","1","1","0","",".267",".325",".456",".781",".337","","-0.2","-0.2","","0.7","18839"
"Michael A. Taylor","KCR","51","221","200","49","9","1","5","23","22","16","58","2","4","2","",".243",".303",".377",".680",".299","","1.5","0.1","","0.7","11489"
"Bryce Harper","PHI","22","97","81","22","5","0","5","15","15","14","21","1","2","1","",".278",".390",".539",".929",".394","","0.0","-0.1","","0.7","11579"
"Jean Segura","PHI","35","149","137","38","7","1","3","18","15","9","21","2","3","1","",".279",".330",".410",".741",".323","","0.0","0.3","","0.7","5933"
"Jacob Stallings","MIA","39","154","138","32","6","0","2","14","15","13","35","1","0","0","",".230",".300",".330",".630",".282","","1.1","-0.4","","0.7","13723"
"Jurickson Profar","SDP","50","214","186","44","10","1","5","27","21","24","32","3","4","1","",".239",".331",".382",".713",".317","","0.0","0.2","","0.7","10815"
"Ji-Man Choi","TBR","47","202","171","40","10","0","6","22","25","28","55","1","0","0","",".236",".346",".406",".752",".332","","-0.1","-0.4","","0.7","5452"
"Michael Brantley","HOU","38","163","147","42","8","1","3","20","17","13","19","1","1","0","",".288",".351",".424",".775",".339","","0.0","-0.3","","0.7","4106"
